Employment,EdLevel,YearsCode,YearsCodePro,OrgSize,Country,Gender,WorkExp,RemoteWork,Compensation_usd
"Employed, full-time",Some college/university study without earning a degree,7,4,20 to 99 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",100000
"Independent contractor, freelancer, or self-employed;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,2,2 to 9 employees,Germany,Man,NA,"Hybrid (some remote, some in-person)",1780.8000000000002
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,9,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,53240
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,13,20 to 99 employees,United States of America,Man,13,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",54450
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,8,20 to 99 employees,United States of America,Man,8,Fully remote,115000
"Employed, full-time","Associate degree (A.A., A.S., etc.)",11,8,100 to 499 employees,United States of America,Man,9,Fully remote,200000
"Employed, full-time","Associate degree (A.A., A.S., etc.)",3,3,20 to 99 employees,Germany,Man,3,"Hybrid (some remote, some in-person)",3392
"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,28,17,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,Man,NA,Fully remote,0
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,12,20 to 99 employees,United States of America,Man,NA,Fully remote,86000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,5,"10,000 or more employees",United States of America,Man,NA,Fully remote,165000
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,9,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,Man,NA,Fully remote,350000
"Employed, full-time",Some college/university study without earning a degree,6,NA,"1,000 to 4,999 employees",United States of America,Man,NA,Fully remote,160000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,5,100 to 499 employees,United States of America,Man,NA,Fully remote,145000
"Employed, full-time","Associate degree (A.A., A.S., etc.)",11,6,20 to 99 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",80000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,3,"5,000 to 9,999 employees",United States of America,Woman,9,"Hybrid (some remote, some in-person)",96300
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40,31,2 to 9 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",60500
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,1,"1,000 to 4,999 employees",Germany,Man,1,"Hybrid (some remote, some in-person)",57240
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,4,2 to 9 employees,Germany,"Non-binary, genderqueer, or gender non-conforming",NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,12,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,12,"Hybrid (some remote, some in-person)",121484
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,4,100 to 499 employees,United States of America,Man,4,Fully remote,158000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,9,"10,000 or more employees",United States of America,"Non-binary, genderqueer, or gender non-conforming",9,Fully remote,350000
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",11,5,10 to 19 employees,United States of America,Man,5,"Hybrid (some remote, some in-person)",90000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,6,20 to 99 employees,United States of America,Man,6,Fully remote,150000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29,22,500 to 999 employees,Germany,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time;Independent contractor, freelancer, or self-employed","Other doctoral degree (Ph.D., Ed.D., etc.)",38,25,20 to 99 employees,Germany,Man,28,"Hybrid (some remote, some in-person)",127200
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35,30,2 to 9 employees,United Kingdom of Great Britain and Northern Ireland,Man,43,Fully remote,NA
